model,dataset,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max,baseline_dataset,absmax_abs_diff_from_baseline,absmax_rel_diff_from_baseline,width_abs_diff_from_baseline,width_rel_diff_from_baseline
OPT-350M,hellaswag,4,key,0,-4.506201542844688,4.275249972755013,8.781451515599702,4.506201542844688,wikitext,-0.8053011167297797,-0.1516145559,-1.7222331031946236,-0.1639646625
OPT-350M,hellaswag,4,key,1,-0.15028573332071632,0.09024523726613098,0.2405309705868473,0.15028573332071632,wikitext,-0.015251999392049631,-0.09213608971,-0.043675555066964744,-0.1536754125
OPT-350M,hellaswag,4,key,2,-0.029601205290588767,-0.029541318962086716,5.988632850205053e-05,0.029601205290588767,wikitext,0.006132700729834111,0.2613162127,5.7667852078068654e-05,25.99434975
OPT-350M,hellaswag,5,key,0,-4.016482000793997,4.403401731224312,8.41988373201831,4.403401731224312,wikitext,-0.8287292528182411,-0.1583922985,-1.9977802750738896,-0.1917685456
OPT-350M,hellaswag,5,key,1,-0.04667793337591174,0.16408179194414388,0.2107597253200556,0.16408179194414388,wikitext,0.019297743850172244,0.1332863952,-0.038625594382958595,-0.1548831921
OPT-350M,hellaswag,5,key,2,0.05868329470890191,0.05873554784195378,5.22531330518633e-05,0.05873554784195378,wikitext,0.038516326659205,1.904936214,5.008876580895466e-05,23.14245236
OPT-350M,hellaswag,6,key,0,-5.302664851631586,5.057893164621995,10.36055801625358,5.302664851631586,wikitext,-1.1256928611343717,-0.1751136,-2.2820062567960644,-0.1805018513
OPT-350M,hellaswag,6,key,1,-0.1393932392416358,0.1052950495250615,0.2446882887666973,0.1393932392416358,wikitext,-0.058835962054906765,-0.2968077441,-0.11014500301078495,-0.3104133844
OPT-350M,hellaswag,6,key,2,-0.01654868178623583,-0.016487386259615145,6.129552662068397e-05,0.01654868178623583,wikitext,-0.0041484046291564575,-0.2004342324,5.891472265348585e-05,24.74572601
OPT-350M,hellaswag,7,key,0,-5.108775999501806,5.354804556140242,10.463580555642048,5.354804556140242,wikitext,-0.6172422080441553,-0.1033552201,-1.32096620854235,-0.1120930855
OPT-350M,hellaswag,7,key,1,-0.17659920471396656,0.07734169142230508,0.25394089613627163,0.17659920471396656,wikitext,-0.012982916573710757,-0.06848175601,-0.10585399110885246,-0.2942064906
OPT-350M,hellaswag,7,key,2,-0.049931785287974643,-0.04986985311485611,6.193217311853405e-05,0.049931785287974643,wikitext,0.04018210854636784,4.121378545,5.9122300254546914e-05,21.04091648
OPT-350M,hellaswag,8,key,0,-4.919689173620625,4.918519196039357,9.838208369659982,4.919689173620625,wikitext,-0.7470051969467502,-0.131823802,-1.4545941569357623,-0.1288071897
OPT-350M,hellaswag,8,key,1,-0.13409338383467354,0.13627309833640164,0.2703664821710752,0.13627309833640164,wikitext,-0.06323827411483951,-0.3169657616,-0.12863202181828653,-0.3223872284
OPT-350M,hellaswag,8,key,2,0.0011407107682702609,0.001209058604511827,6.834783624156608e-05,0.001209058604511827,wikitext,0.0011051017631038887,10.63038996,6.528052203950769e-05,21.28263286
OPT-350M,hellaswag,9,key,0,-5.322471081392452,4.6351378596338275,9.95760894102628,5.322471081392452,wikitext,-0.1565847696713778,-0.02857878692,-0.7690920784772679,-0.07169884544
