model,gpu,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max
OPT-2.7B,RTX 5060,9,key,2,-0.005852071951467095,-0.005850487144280833,1.584807186262062e-06,0.005852071951467095
OPT-2.7B,RTX 5060,10,key,0,-7.830562943262412,7.809812721631205,15.640375664893618,7.830562943262412
OPT-2.7B,RTX 5060,10,key,1,-0.21864264738475178,0.2637783618683511,0.48242100925310283,0.2637783618683511
OPT-2.7B,RTX 5060,10,key,2,0.021938405138380985,0.021940244850537454,1.8397121564692198e-06,0.021940244850537454
OPT-2.7B,RTX 5060,11,key,0,-7.049673093971631,6.842808067375887,13.892481161347519,7.049673093971631
OPT-2.7B,RTX 5060,11,key,1,-0.19430477061170212,0.269685352947695,0.46399012355939717,0.269685352947695
OPT-2.7B,RTX 5060,11,key,2,0.03810963732130984,0.03811158525182846,1.9479305186156926e-06,0.03811158525182846
OPT-2.7B,RTX 5060,12,key,0,-6.5482047872340425,6.627077792553192,13.175282579787234,6.627077792553192
OPT-2.7B,RTX 5060,12,key,1,-0.17221697002437944,0.22140351423980498,0.3936204842641844,0.22140351423980498
OPT-2.7B,RTX 5060,12,key,2,0.02397940344844304,0.023980918505513076,1.5150570700367405e-06,0.023980918505513076
OPT-2.7B,RTX 5060,13,key,0,-6.396858377659575,6.425310283687943,12.822168661347519,6.425310283687943
OPT-2.7B,RTX 5060,13,key,1,-0.19823439577792554,0.21127254404920212,0.40950693982712766,0.21127254404920212
OPT-2.7B,RTX 5060,13,key,2,0.006503493227857224,0.006504928812067559,1.435584210334774e-06,0.006504928812067559
OPT-2.7B,RTX 5060,14,key,0,-5.990359042553192,5.9843472960992905,11.974706338652481,5.990359042553192
OPT-2.7B,RTX 5060,14,key,1,-0.19159931155806736,0.1798277509973404,0.3714270625554078,0.19159931155806736
OPT-2.7B,RTX 5060,14,key,2,-0.005933110172866929,-0.005931877920813594,1.2322520533351172e-06,0.005933110172866929
OPT-2.7B,RTX 5060,15,key,0,-6.048371010638298,6.143894060283688,12.192265070921986,6.143894060283688
OPT-2.7B,RTX 5060,15,key,1,-0.16324177194148937,0.22520414311835107,0.38844591505984044,0.22520414311835107
